"","topic","language","term","platform","link","link_nr"
"72","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","youtube","-0BLJTpguNQ","2"
"73","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","youtube","Mm3kL8waMsI","3"
"74","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","youtube","dymfQ9A7nIA","4"
"75","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","dailymotion","x84p3nz","0"
"76","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","dailymotion","x84ozno","1"
"77","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","dailymotion","x84p22u","2"
"78","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","dailymotion","x84p1r1","3"
"79","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","dailymotion","x84p3ii","4"
"80","La Palma volcano eruption","pt","Erupção do vulcão La Palma","youtube","9HYmnnxtm7k","0"
"81","La Palma volcano eruption","pt","Erupção do vulcão La Palma","youtube","Vhgru8vg6p8","1"
"82","La Palma volcano eruption","pt","Erupção do vulcão La Palma","youtube","6cOK6pgBSZs","2"
"83","La Palma volcano eruption","pt","Erupção do vulcão La Palma","youtube","rnqgcKnsMgo","3"
"84","La Palma volcano eruption","pt","Erupção do vulcão La Palma","youtube","tLgnU2hsayY","4"
"85","La Palma volcano eruption","pt","Erupção do vulcão La Palma","dailymotion","x84bf80","0"
"86","La Palma volcano eruption","pt","Erupção do vulcão La Palma","dailymotion","x84f9j9","1"
"87","La Palma volcano eruption","pt","Erupção do vulcão La Palma","dailymotion","x84iwyo","2"
"88","La Palma volcano eruption","pt","Erupção do vulcão La Palma","dailymotion","x84cwvo","3"
"89","La Palma volcano eruption","pt","Erupção do vulcão La Palma","dailymotion","_","4"
"90","La Palma volcano eruption","ur","لا پالما آتش فشاں پھٹنا۔","youtube","KTdOwNjUOtg","0"
"91","La Palma volcano eruption","ur","لا پالما آتش فشاں پھٹنا۔","youtube","b9-s-DxVoTg","1"
"92","La Palma volcano eruption","ur","لا پالما آتش فشاں پھٹنا۔","youtube","NBPVQWPJqv4","2"
"93","La Palma volcano eruption","ur","لا پالما آتش فشاں پھٹنا۔","youtube","hTK9RnqNOhc","3"
"94","La Palma volcano eruption","ur","لا پالما آتش فشاں پھٹنا۔","youtube","kXfOHjQv3cs","4"
"95","La Palma volcano eruption","ur","لا پالما آتش فشاں پھٹنا۔","dailymotion","x84p3nz","0"
"96","La Palma volcano eruption","ur","لا پالما آتش فشاں پھٹنا۔","dailymotion","x84ozno","1"
"97","La Palma volcano eruption","ur","لا پالما آتش فشاں پھٹنا۔","dailymotion","x84p22u","2"
"98","La Palma volcano eruption","ur","لا پالما آتش فشاں پھٹنا۔","dailymotion","x84p1r1","3"
"99","La Palma volcano eruption","ur","لا پالما آتش فشاں پھٹنا۔","dailymotion","x84p3ii","4"
"100","La Palma volcano eruption","de","Vulkanausbruch auf La Palma","youtube","mfT02YIvWUM","0"
"101","La Palma volcano eruption","de","Vulkanausbruch auf La Palma","youtube","bD7cXMJpdgs","1"
"102","La Palma volcano eruption","de","Vulkanausbruch auf La Palma","youtube","Jxd_0llonmg","2"
"103","La Palma volcano eruption","de","Vulkanausbruch auf La Palma","youtube","TbiSfdx9VeE","3"
"104","La Palma volcano eruption","de","Vulkanausbruch auf La Palma","youtube","1HLcEfF9JWI","4"
"105","La Palma volcano eruption","de","Vulkanausbruch auf La Palma","dailymotion","x84e3gx","0"
"106","La Palma volcano eruption","de","Vulkanausbruch auf La Palma","dailymotion","x84b6e1","1"
"107","La Palma volcano eruption","de","Vulkanausbruch auf La Palma","dailymotion","x84dj8a","2"
"108","La Palma volcano eruption","de","Vulkanausbruch auf La Palma","dailymotion","x84fnq8","3"
"109","La Palma volcano eruption","de","Vulkanausbruch auf La Palma","dailymotion","x84jv9d","4"
"110","La Palma volcano eruption","jp","ラパルマ火山の噴火","youtube","_3A5N2r3zJM","0"
"111","La Palma volcano eruption","jp","ラパルマ火山の噴火","youtube","dFreySEjT40","1"
"112","La Palma volcano eruption","jp","ラパルマ火山の噴火","youtube","CIHOyQ5y-5Q","2"
"113","La Palma volcano eruption","jp","ラパルマ火山の噴火","youtube","8t1KS-DhMHI","3"
"114","La Palma volcano eruption","jp","ラパルマ火山の噴火","youtube","NjKDkbFtu7Q","4"
"115","La Palma volcano eruption","jp","ラパルマ火山の噴火","dailymotion","x84p3nz","0"
"116","La Palma volcano eruption","jp","ラパルマ火山の噴火","dailymotion","x84ozno","1"
"117","La Palma volcano eruption","jp","ラパルマ火山の噴火","dailymotion","x84p22u","2"
"118","La Palma volcano eruption","jp","ラパルマ火山の噴火","dailymotion","x84p1r1","3"
"119","La Palma volcano eruption","jp","ラパルマ火山の噴火","dailymotion","x84p3ii","4"
"120","La Palma volcano eruption","id","Letusan gunung berapi La Palma","youtube","v6ZUwL1RX3M","0"
"121","La Palma volcano eruption","id","Letusan gunung berapi La Palma","youtube","H3pI_QoM5Bg","1"
"122","La Palma volcano eruption","id","Letusan gunung berapi La Palma","youtube","Ek89Mo7FZWg","2"
"123","La Palma volcano eruption","id","Letusan gunung berapi La Palma","youtube","Eii7TYUF1wE","3"
"124","La Palma volcano eruption","id","Letusan gunung berapi La Palma","youtube","s-uvJuGhSU4","4"
"125","La Palma volcano eruption","id","Letusan gunung berapi La Palma","dailymotion","x84n1wu","0"
"126","La Palma volcano eruption","id","Letusan gunung berapi La Palma","dailymotion","_","1"
"127","La Palma volcano eruption","id","Letusan gunung berapi La Palma","dailymotion","_","2"
"128","La Palma volcano eruption","id","Letusan gunung berapi La Palma","dailymotion","_","3"
"129","La Palma volcano eruption","id","Letusan gunung berapi La Palma","dailymotion","_","4"
"130","La Palma intensifies","en","La Palma intensifies","youtube","TTo6QHOqSH4","0"
"131","La Palma intensifies","en","La Palma intensifies","youtube","b9-s-DxVoTg","1"
"132","La Palma intensifies","en","La Palma intensifies","youtube","oHSaAOLA1_g","2"
"133","La Palma intensifies","en","La Palma intensifies","youtube","oErCSsAEKwA","3"
"134","La Palma intensifies","en","La Palma intensifies","youtube","OilLXhW12CE","4"
"135","La Palma intensifies","en","La Palma intensifies","dailymotion","x84ohl6","0"
"136","La Palma intensifies","en","La Palma intensifies","dailymotion","x84ohx8","1"
"137","La Palma intensifies","en","La Palma intensifies","dailymotion","x84f9j9","2"
"138","La Palma intensifies","en","La Palma intensifies","dailymotion","x84kz1a","3"
"139","La Palma intensifies","en","La Palma intensifies","dailymotion","x84ouak","4"
"140","La Palma intensifies","zh-cn","拉帕尔马加剧","youtube","U17iebUyhEE","0"
"141","La Palma intensifies","zh-cn","拉帕尔马加剧","youtube","jLbTJq4unk4","1"
"142","La Palma intensifies","zh-cn","拉帕尔马加剧","youtube","K-oFh-i1YI8","2"
"143","La Palma intensifies","zh-cn","拉帕尔马加剧","youtube","s-U8O2MgORY","3"
"144","La Palma intensifies","zh-cn","拉帕尔马加剧","youtube","bs0GiS8ObwM","4"
"145","La Palma intensifies","zh-cn","拉帕尔马加剧","dailymotion","x84p3nz","0"
"146","La Palma intensifies","zh-cn","拉帕尔马加剧","dailymotion","x84ozno","1"
"147","La Palma intensifies","zh-cn","拉帕尔马加剧","dailymotion","x84p22u","2"
"148","La Palma intensifies","zh-cn","拉帕尔马加剧","dailymotion","x84p1r1","3"
"149","La Palma intensifies","zh-cn","拉帕尔马加剧","dailymotion","x84p3ii","4"
"150","La Palma intensifies","hi","ला पाल्मा तेज करता है","youtube","TTo6QHOqSH4","0"
"151","La Palma intensifies","hi","ला पाल्मा तेज करता है","youtube","b9-s-DxVoTg","1"
"152","La Palma intensifies","hi","ला पाल्मा तेज करता है","youtube","oHSaAOLA1_g","2"
"153","La Palma intensifies","hi","ला पाल्मा तेज करता है","youtube","fX770CCxt9w","3"
"154","La Palma intensifies","hi","ला पाल्मा तेज करता है","youtube","oTcZYp419HA","4"
"155","La Palma intensifies","hi","ला पाल्मा तेज करता है","dailymotion","x84p3nz","0"
"156","La Palma intensifies","hi","ला पाल्मा तेज करता है","dailymotion","x84ozno","1"
"157","La Palma intensifies","hi","ला पाल्मा तेज करता है","dailymotion","x84p22u","2"
"158","La Palma intensifies","hi","ला पाल्मा तेज करता है","dailymotion","x84p1r1","3"
"159","La Palma intensifies","hi","ला पाल्मा तेज करता है","dailymotion","x84p3ii","4"
"160","La Palma intensifies","es","La Palma se intensifica","youtube","Rf8PxLJ1A2o","0"
"161","La Palma intensifies","es","La Palma se intensifica","youtube","_yR75Kzh3Z0","1"
"162","La Palma intensifies","es","La Palma se intensifica","youtube","vcA1QHOTatY","2"
"163","La Palma intensifies","es","La Palma se intensifica","youtube","VE7b_4FNYG0","3"
"164","La Palma intensifies","es","La Palma se intensifica","youtube","3Dp7sUDSSTU","4"
"165","La Palma intensifies","es","La Palma se intensifica","dailymotion","x84f9j9","0"
"166","La Palma intensifies","es","La Palma se intensifica","dailymotion","x84ouak","1"
"167","La Palma intensifies","es","La Palma se intensifica","dailymotion","_","2"
"168","La Palma intensifies","es","La Palma se intensifica","dailymotion","_","3"
"169","La Palma intensifies","es","La Palma se intensifica","dailymotion","_","4"
"170","La Palma intensifies","ar","تكثف ""لا بالما""","youtube","XxrkcTRs3yc","0"
"171","La Palma intensifies","ar","تكثف ""لا بالما""","youtube","INso3aI3imI","1"
"172","La Palma intensifies","ar","تكثف ""لا بالما""","youtube","KA10M8229Ac","2"
"173","La Palma intensifies","ar","تكثف ""لا بالما""","youtube","SBuDOFcIMK4","3"
"174","La Palma intensifies","ar","تكثف ""لا بالما""","youtube","kXzXRpFLs1E","4"
"175","La Palma intensifies","ar","تكثف ""لا بالما""","dailymotion","x84p3nz","0"
"176","La Palma intensifies","ar","تكثف ""لا بالما""","dailymotion","x84ozno","1"
"177","La Palma intensifies","ar","تكثف ""لا بالما""","dailymotion","x84p22u","2"
"178","La Palma intensifies","ar","تكثف ""لا بالما""","dailymotion","x84p1r1","3"
"179","La Palma intensifies","ar","تكثف ""لا بالما""","dailymotion","x84p3ii","4"
"180","La Palma intensifies","bn","লা পালমা তীব্র হয়","youtube","TTo6QHOqSH4","0"
"181","La Palma intensifies","bn","লা পালমা তীব্র হয়","youtube","OilLXhW12CE","1"
"182","La Palma intensifies","bn","লা পালমা তীব্র হয়","youtube","WUFx6Qyic-k","2"
"183","La Palma intensifies","bn","লা পালমা তীব্র হয়","youtube","9HxyxVakEC4","3"
"184","La Palma intensifies","bn","লা পালমা তীব্র হয়","youtube","ncKkqPZ6Q3Y","4"
"185","La Palma intensifies","bn","লা পালমা তীব্র হয়","dailymotion","x84p3nz","0"
"186","La Palma intensifies","bn","লা পালমা তীব্র হয়","dailymotion","x84ozno","1"
"187","La Palma intensifies","bn","লা পালমা তীব্র হয়","dailymotion","x84p22u","2"
"188","La Palma intensifies","bn","লা পালমা তীব্র হয়","dailymotion","x84p1r1","3"
"189","La Palma intensifies","bn","লা পালমা তীব্র হয়","dailymotion","x84p3ii","4"
"190","La Palma intensifies","fr","La Palma s'intensifie","youtube","evqEa06E8ds","0"
"191","La Palma intensifies","fr","La Palma s'intensifie","youtube","-S0tpEu03_Y","1"
"192","La Palma intensifies","fr","La Palma s'intensifie","youtube","NPdNLXwcon0","2"
"193","La Palma intensifies","fr","La Palma s'intensifie","youtube","2t8t_elXnYU","3"
"194","La Palma intensifies","fr","La Palma s'intensifie","youtube","AY4dG6s5afo","4"
"195","La Palma intensifies","fr","La Palma s'intensifie","dailymotion","x84ohx8","0"
"196","La Palma intensifies","fr","La Palma s'intensifie","dailymotion","_","1"
"197","La Palma intensifies","fr","La Palma s'intensifie","dailymotion","_","2"
"198","La Palma intensifies","fr","La Palma s'intensifie","dailymotion","_","3"
"199","La Palma intensifies","fr","La Palma s'intensifie","dailymotion","_","4"
"200","La Palma intensifies","ru","Ла Пальма усиливается","youtube","Mm3kL8waMsI","0"
"201","La Palma intensifies","ru","Ла Пальма усиливается","youtube","dymfQ9A7nIA","1"
"202","La Palma intensifies","ru","Ла Пальма усиливается","youtube","4_2F4M_HVPg","2"
"203","La Palma intensifies","ru","Ла Пальма усиливается","youtube","2zJpQjpSeRY","3"
"204","La Palma intensifies","ru","Ла Пальма усиливается","youtube","GBP8GKuVZ9I","4"
"205","La Palma intensifies","ru","Ла Пальма усиливается","dailymotion","x84p3nz","0"
"206","La Palma intensifies","ru","Ла Пальма усиливается","dailymotion","x84ozno","1"
"207","La Palma intensifies","ru","Ла Пальма усиливается","dailymotion","x84p22u","2"
"208","La Palma intensifies","ru","Ла Пальма усиливается","dailymotion","x84p1r1","3"
"209","La Palma intensifies","ru","Ла Пальма усиливается","dailymotion","x84p3ii","4"
"210","La Palma intensifies","pt","La Palma intensifica","youtube","L-HHq3Wqjjo","0"
"211","La Palma intensifies","pt","La Palma intensifica","youtube","iCs7oww5DEw","1"
"212","La Palma intensifies","pt","La Palma intensifica","youtube","VE7b_4FNYG0","2"
"213","La Palma intensifies","pt","La Palma intensifica","youtube","nlc7rRNMMVo","3"
"214","La Palma intensifies","pt","La Palma intensifica","youtube","hPsGggd6Y1A","4"
"215","La Palma intensifies","pt","La Palma intensifica","dailymotion","x84f9j9","0"
"216","La Palma intensifies","pt","La Palma intensifica","dailymotion","x84kz1a","1"
"217","La Palma intensifies","pt","La Palma intensifica","dailymotion","x84ouak","2"
"218","La Palma intensifies","pt","La Palma intensifica","dailymotion","x84ohl6","3"
"219","La Palma intensifies","pt","La Palma intensifica","dailymotion","x84ohx8","4"
"220","La Palma intensifies","ur","لا پالما شدت اختیار کرتا ہے۔","youtube","TTo6QHOqSH4","0"
"221","La Palma intensifies","ur","لا پالما شدت اختیار کرتا ہے۔","youtube","b9-s-DxVoTg","1"
"222","La Palma intensifies","ur","لا پالما شدت اختیار کرتا ہے۔","youtube","oHSaAOLA1_g","2"
"223","La Palma intensifies","ur","لا پالما شدت اختیار کرتا ہے۔","youtube","_","3"
"224","La Palma intensifies","ur","لا پالما شدت اختیار کرتا ہے۔","youtube","_","4"
"225","La Palma intensifies","ur","لا پالما شدت اختیار کرتا ہے۔","dailymotion","x84p3nz","0"
"226","La Palma intensifies","ur","لا پالما شدت اختیار کرتا ہے۔","dailymotion","x84ozno","1"
"227","La Palma intensifies","ur","لا پالما شدت اختیار کرتا ہے۔","dailymotion","x84p22u","2"
"228","La Palma intensifies","ur","لا پالما شدت اختیار کرتا ہے۔","dailymotion","x84p1r1","3"
"229","La Palma intensifies","ur","لا پالما شدت اختیار کرتا ہے۔","dailymotion","x84p3ii","4"
"230","La Palma intensifies","de","La Palma intensiviert","youtube","kjg-1BemSOo","0"
"231","La Palma intensifies","de","La Palma intensiviert","youtube","VXhQ-_sc6P8","1"
"232","La Palma intensifies","de","La Palma intensiviert","youtube","VXhQ-_sc6P8&amp;t=83s","2"
"233","La Palma intensifies","de","La Palma intensiviert","youtube","rzjGyGxR-80","3"
"234","La Palma intensifies","de","La Palma intensiviert","youtube","XIpX_rBf-wg","4"
"235","La Palma intensifies","de","La Palma intensiviert","dailymotion","x84p3nz","0"
"236","La Palma intensifies","de","La Palma intensiviert","dailymotion","x84ozno","1"
"237","La Palma intensifies","de","La Palma intensiviert","dailymotion","x84p22u","2"
"238","La Palma intensifies","de","La Palma intensiviert","dailymotion","x84p1r1","3"
"239","La Palma intensifies","de","La Palma intensiviert","dailymotion","x84p3ii","4"
"240","La Palma intensifies","jp","ラパルマが激化","youtube","SBuDOFcIMK4","0"
"241","La Palma intensifies","jp","ラパルマが激化","youtube","It636bR7jyo","1"
"242","La Palma intensifies","jp","ラパルマが激化","youtube","5JIgxb92Ae0","2"
"243","La Palma intensifies","jp","ラパルマが激化","youtube","NPdNLXwcon0&amp;pp=ugMICgJqYRABGAE%3D","3"
"244","La Palma intensifies","jp","ラパルマが激化","youtube","K1HPU4d7Vis","4"
"245","La Palma intensifies","jp","ラパルマが激化","dailymotion","x84p3nz","0"
"246","La Palma intensifies","jp","ラパルマが激化","dailymotion","x84ozno","1"
"247","La Palma intensifies","jp","ラパルマが激化","dailymotion","x84p22u","2"
"248","La Palma intensifies","jp","ラパルマが激化","dailymotion","x84p1r1","3"
"249","La Palma intensifies","jp","ラパルマが激化","dailymotion","x84p3ii","4"
"250","La Palma intensifies","id","La Palma mengintensifkan","youtube","5JIgxb92Ae0","0"
"251","La Palma intensifies","id","La Palma mengintensifkan","youtube","v0rG_MOQDYw","1"
"252","La Palma intensifies","id","La Palma mengintensifkan","youtube","c1zneJtoZfQ","2"
"253","La Palma intensifies","id","La Palma mengintensifkan","youtube","HaKAuhU8838","3"
"254","La Palma intensifies","id","La Palma mengintensifkan","youtube","z30HDDelb7c","4"
"255","La Palma intensifies","id","La Palma mengintensifkan","dailymotion","x84p3nz","0"
"256","La Palma intensifies","id","La Palma mengintensifkan","dailymotion","x84ozno","1"
"257","La Palma intensifies","id","La Palma mengintensifkan","dailymotion","x84p22u","2"
"258","La Palma intensifies","id","La Palma mengintensifkan","dailymotion","x84p1r1","3"
"259","La Palma intensifies","id","La Palma mengintensifkan","dailymotion","x84p3ii","4"
"260","COP26 climate conference","en","COP26 climate conference","youtube","q8l-_xKOhBc","0"
"261","COP26 climate conference","en","COP26 climate conference","youtube","6WDzEKtBk9w","1"
"262","COP26 climate conference","en","COP26 climate conference","youtube","Gvx6cAeO4_Q","2"
"263","COP26 climate conference","en","COP26 climate conference","youtube","rq1rDWM7WWE","3"
"264","COP26 climate conference","en","COP26 climate conference","youtube","25VFQ29HTPQ","4"
"265","COP26 climate conference","en","COP26 climate conference","dailymotion","x84i8tv","0"
"266","COP26 climate conference","en","COP26 climate conference","dailymotion","_","1"
"267","COP26 climate conference","en","COP26 climate conference","dailymotion","_","2"
"268","COP26 climate conference","en","COP26 climate conference","dailymotion","_","3"
"269","COP26 climate conference","en","COP26 climate conference","dailymotion","_","4"
"270","COP26 climate conference","zh-cn","COP26气候大会","youtube","Ne-94grbLXg","0"
"271","COP26 climate conference","zh-cn","COP26气候大会","youtube","QWCWB4TKHQU","1"
"272","COP26 climate conference","zh-cn","COP26气候大会","youtube","g9Ha_Wqf18c","2"
"273","COP26 climate conference","zh-cn","COP26气候大会","youtube","wkhzCHTAUK8","3"
"274","COP26 climate conference","zh-cn","COP26气候大会","youtube","Gvx6cAeO4_Q","4"
"275","COP26 climate conference","zh-cn","COP26气候大会","dailymotion","x84p3nz","0"
"276","COP26 climate conference","zh-cn","COP26气候大会","dailymotion","x84ozno","1"
"277","COP26 climate conference","zh-cn","COP26气候大会","dailymotion","x84p22u","2"
"278","COP26 climate conference","zh-cn","COP26气候大会","dailymotion","x84p1r1","3"
"279","COP26 climate conference","zh-cn","COP26气候大会","dailymotion","x84p3ii","4"
"280","COP26 climate conference","hi","COP26 जलवायु सम्मेलन","youtube","q8l-_xKOhBc","0"
"281","COP26 climate conference","hi","COP26 जलवायु सम्मेलन","youtube","6WDzEKtBk9w","1"
"282","COP26 climate conference","hi","COP26 जलवायु सम्मेलन","youtube","Gvx6cAeO4_Q","2"
"283","COP26 climate conference","hi","COP26 जलवायु सम्मेलन","youtube","yK-9tbSNcko&amp;pp=ugMICgJoaRABGAE%3D","3"
"284","COP26 climate conference","hi","COP26 जलवायु सम्मेलन","youtube","0CYJzd9WuD4&amp;pp=ugMICgJoaRABGAE%3D","4"
"285","COP26 climate conference","hi","COP26 जलवायु सम्मेलन","dailymotion","x84p3nz","0"
"286","COP26 climate conference","hi","COP26 जलवायु सम्मेलन","dailymotion","x84ozno","1"
"287","COP26 climate conference","hi","COP26 जलवायु सम्मेलन","dailymotion","x84p22u","2"
"288","COP26 climate conference","hi","COP26 जलवायु सम्मेलन","dailymotion","x84p1r1","3"
"289","COP26 climate conference","hi","COP26 जलवायु सम्मेलन","dailymotion","x84p3ii","4"
"290","COP26 climate conference","es","Conferencia climática COP26","youtube","J9ohcQ_AyMs","0"
"291","COP26 climate conference","es","Conferencia climática COP26","youtube","9M-B2RK95ek","1"
"292","COP26 climate conference","es","Conferencia climática COP26","youtube","S2j290MNouc","2"
"293","COP26 climate conference","es","Conferencia climática COP26","youtube","USAktvRFecI","3"
"294","COP26 climate conference","es","Conferencia climática COP26","youtube","qYQ7DEESEJg","4"
"295","COP26 climate conference","es","Conferencia climática COP26","dailymotion","x84p3nz","0"
"296","COP26 climate conference","es","Conferencia climática COP26","dailymotion","x84ozno","1"
"297","COP26 climate conference","es","Conferencia climática COP26","dailymotion","x84p22u","2"
